episode,reward,avg_reward,filled_cells,success_rate,epsilon,loss,avg_q_value
1,100.0,100.0,100,1.0,1.0,1.4109398126602173,
2,100.0,100.0,100,1.0,0.998,0.33493852328509094,
3,100.0,100.0,100,1.0,0.996,0.09073955375701188,
4,100.0,100.0,100,1.0,0.994,0.053904700316488745,
5,100.0,100.0,100,1.0,0.992,0.04525972742587328,
6,100.0,100.0,100,1.0,0.99,0.03965668337419629,
7,100.0,100.0,100,1.0,0.988,0.03651765149086714,
8,100.0,100.0,100,1.0,0.986,0.03737439224496484,
9,100.0,100.0,100,1.0,0.984,0.03845599513500929,
10,100.0,100.0,100,1.0,0.982,0.03665959931910038,
11,100.0,100.0,100,1.0,0.98,0.039868789874017235,
12,100.0,100.0,100,1.0,0.978,0.04049268184229732,
13,100.0,100.0,100,1.0,0.976,0.042298022396862506,
14,100.0,100.0,100,1.0,0.974,0.04402808913961053,
15,100.0,100.0,100,1.0,0.972,0.04607217570766806,
16,100.0,100.0,100,1.0,0.97,0.0470721285790205,
17,100.0,100.0,100,1.0,0.968,0.05071859836578369,
18,100.0,100.0,100,1.0,0.966,0.055324475094676015,
19,100.0,100.0,100,1.0,0.964,0.05850977506488562,
20,100.0,100.0,100,1.0,0.962,0.06206206627190113,
21,100.0,100.0,100,1.0,0.96,0.06673377301543951,
22,100.0,100.0,100,1.0,0.958,0.07162795197218656,
23,100.0,100.0,100,1.0,0.956,0.0722636940702796,
24,100.0,100.0,100,1.0,0.954,0.07732397913932801,
25,100.0,100.0,100,1.0,0.952,0.08639230005443096,
26,100.0,100.0,100,1.0,0.95,0.08706118937581778,
27,100.0,100.0,100,1.0,0.948,0.09488061789423227,
28,100.0,100.0,100,1.0,0.946,0.09380630034953356,
29,100.0,100.0,100,1.0,0.944,0.10606788884848356,
30,100.0,100.0,100,1.0,0.942,0.11008405398577452,
31,100.0,100.0,100,1.0,0.94,0.10886954229325056,
32,100.0,100.0,100,1.0,0.938,0.1234659956395626,
33,100.0,100.0,100,1.0,0.9359999999999999,0.12123876877129078,
34,100.0,100.0,100,1.0,0.9339999999999999,0.13451007649302482,
35,100.0,100.0,100,1.0,0.9319999999999999,0.14389619424939157,
36,100.0,100.0,100,1.0,0.9299999999999999,0.1521202824264765,
37,100.0,100.0,100,1.0,0.928,0.15039033390581608,
38,100.0,100.0,100,1.0,0.926,0.18113596692681314,
39,100.0,100.0,100,1.0,0.924,0.17263501368463038,
40,100.0,100.0,100,1.0,0.922,0.19520518474280835,
41,100.0,100.0,100,1.0,0.92,0.20271588213741779,
42,100.0,100.0,100,1.0,0.918,0.2001740403473377,
43,100.0,100.0,100,1.0,0.916,0.21096830189228058,
44,100.0,100.0,100,1.0,0.914,0.23396498933434487,
45,100.0,100.0,100,1.0,0.912,0.23761021077632904,
46,100.0,100.0,100,1.0,0.91,0.26051570519804956,
47,100.0,100.0,100,1.0,0.908,0.2547731536626816,
48,100.0,100.0,100,1.0,0.906,0.2613479044288397,
49,100.0,100.0,100,1.0,0.904,0.26448113083839414,
50,100.0,100.0,100,1.0,0.902,0.2945553285628557,
51,100.0,100.0,100,1.0,0.9,0.31374455079436303,
52,100.0,100.0,100,1.0,0.898,0.3298074920475483,
53,100.0,100.0,100,1.0,0.896,0.3150964318215847,
54,100.0,100.0,100,1.0,0.894,0.3476343721151352,
55,100.0,100.0,100,1.0,0.892,0.3736878848075867,
56,100.0,100.0,100,1.0,0.89,0.37583517640829084,
57,100.0,100.0,100,1.0,0.888,0.3599091738462448,
58,100.0,100.0,100,1.0,0.886,0.39758080795407297,5.063537120819092
59,100.0,100.0,100,1.0,0.884,0.4001668061316013,4.470455646514893
60,100.0,100.0,100,1.0,0.882,0.44945694848895074,
61,100.0,100.0,100,1.0,0.88,0.4446559645235538,
62,100.0,100.0,100,1.0,0.878,0.44993447661399844,
63,100.0,100.0,100,1.0,0.876,0.4571084229648113,
64,100.0,100.0,100,1.0,0.874,0.4926201540231705,4.733595848083496
65,100.0,100.0,100,1.0,0.872,0.49692750692367554,
66,100.0,100.0,100,1.0,0.87,0.5273870038986206,
67,100.0,100.0,100,1.0,0.868,0.5447965992987156,
68,100.0,100.0,100,1.0,0.866,0.5334735968708992,
69,100.0,100.0,100,1.0,0.864,0.5468852704763413,6.6048431396484375
70,100.0,100.0,100,1.0,0.862,0.5644090783596039,
71,100.0,100.0,100,1.0,0.86,0.5602389386296273,
72,100.0,100.0,100,1.0,0.858,0.5874522978067398,
